sep=;
CNAE;CNAE_numerico;Secao;Secao_descricao;Divisao;Grupo;Classe;Subclasse;Atividade;CBMPE_nivel;CBMPE_descricao;Anexo;Nivel_de_risco;Descricao_do_nivel;Dispensa_licenciamento_previo;Pagina_DOE;Alterado_por_errata
0311-6/01;0311601;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;031;0311-6;01;Pesca de peixes em água salgada;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0311-6/02;0311602;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;031;0311-6;02;Pesca de crustáceos e moluscos em água salgada;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0311-6/03;0311603;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;031;0311-6;03;Coleta de outros produtos marinhos;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0311-6/04;0311604;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;031;0311-6;04;Atividades de apoio à pesca em água salgada;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;15;Não
0312-4/01;0312401;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;031;0312-4;01;Pesca de peixes em água doce;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0312-4/02;0312402;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;031;0312-4;02;Pesca de crustáceos e moluscos em água doce;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0312-4/03;0312403;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;031;0312-4;03;Coleta de outros produtos aquáticos de água doce;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0312-4/04;0312404;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;031;0312-4;04;Atividades de apoio à pesca em água doce;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;15;Não
0321-3/01;0321301;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;032;0321-3;01;Criação de peixes em água salgada e salobra;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;15;Não
0321-3/02;0321302;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;032;0321-3;02;Criação de camarões em água salgada e salobra;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;15;Não
0321-3/03;0321303;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;03;032;0321-3;03;Criação de ostras e mexilhões em água salgada e salobra;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;15;Não
